#,動詞,Verb,,Meaning,自/他,意向,能动(V2),"て/で ( noun-で, adj-て, verb-て)",,た/だ,,,,ます,,,
,,,,,,,,Iます,IIて,normal,negative,past,past-negative,normal,negative,past,past-negative
39,(1) 書く,kaku,かく,to write; to compose; to pen; to draw,,書こう,書ける,,書いて, 書く,書かない,書いた,書かなった,書きます,書きません,書きました,書きませんでした
40,(2) 借りる,kariru,かりる,to borrow,,借りろう,借りられる,,借りて, 借りる,借りない,借りた,借りりなった,借りまし,借りません,借りました,借りませんでした
41,(1) 貸す,kasu,かす,to lend; to loan,,貸そう,貸せる,,貸して, 貸す,貸さない,貸した,貸さなつた,貸します,貸しません,貸しました,貸しませんでした
42,(1) 買う,kau,かう,to buy; to purchase,,買おう,買える,,買って, 買う,買わない,買った,買わなった,買います,買いません,買いました,買いませんでした
43,(3) 結婚,kekkon,けっこん,marriage,,結婚しよう,結婚できる,,結婚して, 結婚,結婚しない,結婚した,結婚しなった,,,,
44,(1) 消す,kesu,けす,"to erase, to turn off power",,消そう,消せる,,消して, 消す,消さない,消した,消さなった,消します,消しません,消しました,消しませんでした
45,(2) 消える,kieru,きえる,to disappear,,消えよう,消えられる,,消えて, 消える,消えない,消えた,消えなった,消えます,消えません,消えました,消えませんでした
46,(1) 聞く,kiku,きく,to hear; to listen (to music); to ask; to learn of,,聞こう,聞ける,,聞いて, 聞く,聞かない,聞いた,聞かなった,聞きます,聞きません,聞きました,聞きませんでした
47,(1) 切る,kiru,きる,to cut,,切ろう,切れる,,切って, 切る,切らない,切った,切らなった,切ります,切りません,切りました,切りませんでした
48,(2) 着る,kiru,きる,to wear,,着よう,着られる,,着て, 着る,着ない,着た,着なった,着ます,着ません,着ました,着ませんでした
49,(1) 困る,komaru,こまる,to be troubled,,困ろう,困れる,,困って, 困る,困らない,困った,困らなった,困ります,困りません,困りました,困りませんでした
50,(3) コピー,kopii,,copy; photocopy,,,,, コピーして, コピー, コピーしない, コピーした, コピーしなった,,,,
51,(2) 答える,kotaeru,こたえる,to answer,,答えよう,答えられる,,答えて, 答える,答えない,答えた,答えらなった,答えます,答えません,答えました,答えまえんでした
52,(1) 曇る,kumoru,くもる,"to become cloudy, to become dim",,曇ろう,雲れる,,曇って, 曇る,曇らない,曇った,曇らなった,曇ります,曇りません,曇りました,曇りませんでした
53,(3) 来る,kuru,くる,to come,,,,,, 来る,,,,,,,
54,(1) 曲がる,magaru,まがる,"to turn, to bend",,曲がろう,曲がれる,,曲がって, 曲がる,曲がらない,曲がった,曲がらなった,曲がります,曲がりません,曲がりました,曲がりませんでした
55,(1) 磨く,migaku,みがく,to polish; to shine; to brush (e.g. teeth),,磨こう,磨ける,,磨いて, 磨く,磨かない,磨いた,磨かなった,磨きます,磨きません,磨きました,磨きませんでした
56,(2) 見る,miru,みる,to see; to look; to watch; to view; to observe,,見よう,見られる,,見て, 見る,見ない,見た,見なった,見ます,見ません,見ました,見ませんでした
57,(2) 見せる,miseru,みせる,to show; to display,,見せよう,見せれる,,見せて, 見せる,見せない,見せた,見せらなった,見せます,見せません,見せました,見せませんでした
58,(1) 持つ,motsu,もつ,to hold,,持とう,持てる,,持って, 持つ,持たない,持った,持たなった,持ちます,持ちません,持ちました,持ちませんでした
59,(1) 鳴く,naku,なく,animal noise. to chirp,,鳴こう,鳴ける,,鳴いて, 鳴く,鳴かない,鳴いた,鳴かなった,鳴きます,鳴きません,鳴きました,鳴きませんでした
60,(1) 無くす,nakusu,なくす,to lose (something),,無くそう,なくせる,,無くして, 無くす,無くさない,無くした,無くさなった,無くします,無くしません,無くしました,無くしませんでした
61,(2) 並べる,naraberu,ならべる,"to line up,to set up",,並べよう,並べられる,,並べて, 並べる,並べない,並べた,並べなった,並べます,並べません,並べました,並べませんでした
62,(1) 並ぶ,narabu,ならぶ,"to line up,to stand in a line",,並ぼう,並べる,,並んで, 並ぶ,並ばない,並んだ,並ばなった,並びます,並びません,並びました,並びませんでした
63,(1) 習う,narau,ならう,to be taught; to learn (from a teacher),,習おう,習える,,習って, 習う,習わない,習った,習わなった,習います,習いません,習いました,習いませんでした
64,(2) 寝る,neru,ねる,to sleep; to go to bed; to lie down,,寝よう,寝られる,,寝て, 寝る,寝ない,寝た,寝なった,寝ます,寝ません,寝ました,寝ませんでした
65,(1) 登る,noboru,のぼる,to climb,,登ろう,登れる,,登って, 登る,登らない,登った,登らなった,登ります,登りません,登りました,登りませんでした
66,(1) 飲む,nomu,のむ,to drink,,飲もう,飲める,,飲んで, 飲む,飲まない,飲んた,飲まなった,飲みます,飲みません,飲みました,飲みませんでした
67,(1) 乗る,noru,のる,"to get on (train, plane, bus, ship, etc.)",,乗ろう,乗れる,,乗って, 乗る,乗らない,乗った,乗らなった,乗ります,乗りません,乗りました,乗りませんでした
68,(1) 脱ぐ,nugu,,to take off clothes,,脱ごう,脱げる,,脱いだ, 脱ぐ,脱がない,脱いだ,脱がなった,脱ぎます,脱ぎません,脱ぎました,脱ぎませんでした
69,(2) 覚える,oboeru,おぼえる,to remember,,覚えよう,覚えられる,,覚えて, 覚える,覚えない,覚えた,覚えなった,覚えます,覚えません,覚えました,覚えませんでした
70,(2) 起きる,okiru,おきる,to get up; to wake up,,起きよう,起きられる,,起きて, 起きる,起きない,起きた,起きなった,起きます,起きません,置きました,起きませんでした
71,(1) 置く,oku,おく,to put; to place?,,置こう,置ける,,置いて, 置く,置かない,置いた,置かなった,置きます,置きません,置きました,置きませんでした
72,(2) 降りる,oriru,おりる,to get off,,降りろう,降りられる,,降りて, 降りる,降りない,降りた,降りなった,降ります,降りません,降りました,降りませんでした
73,(2) 教える,oshieru,おしえる,to teach,,教えろう,教えられる,,教えて, 教える,教えない,教えた,教えらなった,教えます,教えません,教えました,教えませんでした
74,(1) 押す,osu,おす,to push; to press?,,押そう,押せる,,押して, 押す,押さない,押した,押さなった,押します,押しません,押しました,押しませんでした
75,(1) 终わる,owaru,おわる,to finish; to end,,終わろう,終われる,,終わって, 终わる,終わらない,終わった,終わらなった,終わります,終わりません,終わりました,終わりませんでした
76,(1) 泳ぐ,oyogu,およぐ,to swim,,泳ごう,泳げる,,泳いだ, 泳ぐ,泳がない,泳いだ,泳がなった,泳ぎます,泳ぎません,泳ぎました,泳ぎませんでした
77,(3) 練習,renshuu,れんしゅう,practice; practicing,,練習しよう,練習できる,,練習して, 練習,練習しない,練習した,練習しなった,練習します,練習しません,練習しました,練習しませんでした
78,(3) 旅行,ryokou,りょこう,travel; trip; journey; excursion; tour,,旅行しよう,旅行できる,,旅行して, 旅行,旅行しない,旅行した,旅行しなった,旅行します,旅行しません,旅行しました,旅行しませんでした
79,(3) 料理,ryouri,りょうり,cuisine,,料理しよう,料理できる,,料理して, 料理,料理しない,料理した,料理しなった,料理します,料理しません,料理しました,料理しませんでした
80,(1) 咲く,saku,さく,to bloom,,咲こう,咲ける,,咲いて, 咲く,咲かない,咲いた,咲かなった,咲きます,咲きません,咲きました,咲きませんでした
